form	lemma	morph	POS		
Provinces	Provinces		
&	_		
des	de_le		
Cours	Cours		
Etrangères	Etrangères		
.	.		
L’Autheur	leautheur		
ne	ne		
commence	commencer		
qu’à	queà		
établir	établir		
des	un		
correspondances	correspondance		
,	,		
&	je		
former	former		
des	un		
habitudes	habitude		
d’où	deoù		
qu’il	queil		
puisse	pouvoir		
tirer	tirer		
des	un		
secours	secours		
considérables	considérable		
,	,		
afin	afin		
qu’il	queil		
n’arrive	naarrive		
rien	rien		
de	de		
nouveau	nouveau		
dans	dans		
le	le		
Monde	Monde		
dont	dont		
il	il		
ne	ne		
parle	parler		
dans	dans		
ses	son		
Lettres	Lettres		
.	.		
On	on		
ne	ne		
doit	devoir		
regarder	regarder		
celles	celui		
-	-		
cy	cy		
que	que		
comme	comme		
des	un		
Essays	Essays		
,	,		
&	joir		
par	par		
ce	ce		
qu’elles	quelle		
sont	être		
,	,		
on	on		
doit	devoir		
les	il		
juger	juger		
de	de		
ce	ce		
que	que		
celles	celui		
qui	qui		
les	il		
suivront	suivre		
pouront	pouront		
estre	estre		
.	.		
Ainsi	ainsi		
l’on	lnon		
ne	ne		
doit	devoir		
considérer	considérer		
ce	ce		
Volume	Volume		
que	que		
comme	comme		
le	le		
dessein	dessein		
d’un	dléun		
Ouvrage	ouvrage		
auquel	auquel		
on	on		
peut	pouvoir		
adjouter	adjouter		
beaucoup	beaucoup		
,	,		
&	je		
non	non		
comme	comme		
un	un		
Ouvrage	ouvrage		
achevé	achevé		
.	.		
Ceux	celui		
qui	qui		
auront	avoir		
quelques	quelque		
Galanteries	Galanterie		
,	,		
&	avoir		
quelque	quelque		
chose	chose		
de	de		
curieux	curieux		
,	,		
qui	qui		
méritera	mériter		
d’estre	dlestre		
sçeu	sçeu		
,	,		
pourront	pouvoir		
me	je		
l’apporter	lnapporter		
,	,		
&	je		
je	je		
feray	feray		
en	en		
sorte	sorte		
que	que		
l’Autheur	lnautheur		
en	en		
entretienne	entretenir		
la	le		
Personne	Personne		
à	à		
qui	qui		
il	il		
s’adresse	saadresser		
dans	dans		
ses	son		
Lettres	Lettres		
.	.		
Je	je		
crois	croire		
estre	estre		
encor	encore		
obligé	obliger		
de	de		
vous	vous		
avertir	avertir		
que	que		
ce	ce		
Livre	Livre		
n’a	naître		
rien	rien		
qui	qui		
ressemble	ressembler		
au	à_le		
Journal	Journal		
des	de_le		
Sçavans	Sçavans		
:	:		
Il	il		
ne	ne		
parle	parler		
que	que		
des	un		
Livres	Livres		
de	de		
Sciences	Sciences		
qu’on	queon		
imprime	imprimer		
;	;		
&	j		
l’on	lire		
en	en		
parle	parler		
icy	icy		
que	que		
d’Histoires	dehistoires		
amoureuses	amoureux		
,	,		
&	ê		
que	que		
du	de_le		
mérite	mérite		
des	de_le		
Personnes	Personnes		
qui	qui		
en	en		
ont	avoir		
beaucoup	beaucoup		
,	,		
quand	quand		
mesme	mesmer		
leur	leur		
plume	plume		
ne	ne		
produiroit	produire		
aucun	aucun		
Ouvrage	ouvrage		
.	.		
Il	il		
n’est	naître		
pas	pas		
toûjours	toûjours		
necessaire	necessaire		
d’écrire	dladscrire		
pour	pour		
avoir	avoir		
de	un		
l’esprit	llesprit		
,	,		
&	je		
l’on	lire		
a	avoir		
souvent	souvent		
veu	veu		
des	un		
preuves	preuve		
du	de_le		
contraire	contraire		
.	.		
Je	je		
dois	devoir		
adjoûter	adjoûter		
à	à		
tout	tout		
cela	cela		
,	,		
que	que		
si	si		
l’on	lnon		
parle	parler		
icy	icy		
de	de		
quelques	quelque		
Livres	Livres		
,	,		
ce	ce		
n’est	naître		
que	que		
de	de		
Livres	Livres		
de	de		
Galanteries	Galanteries		
,	,		
dont	dont		
le	le		
Journal	Journal		
ne	ne		
dit	dire		
jamais	jamais		
rien	rien		
;	;		
&	j		
qu’il	queil		
n’y	n		
a	avoir		
pas	pas		
dans	dans		
ce	ce		
Volume	Volume		
trente	trente		
lignes	ligne		
sur	sur		
cette	ce		
matiere	matière		
.	.		
_____	______		
Dessein	Dessein		
de	de		
l’Ouvrage	llouvrage		
MADAME	madame		
,	,		
Il	il		
n’estoit	naître		
pas	pas		
besoin	besoin		
de	de		
me	je		
faire	faire		
souvenir	souvenir		
que	que		
lors	lors		
que	que		
vous	vous		
partîtes	partir		
de	de		
Paris	Paris		
,	,		
je	je		
vous	vous		
promis	promettre		
de	de		
vous	vous		
mander	mander		
souvent	souvent		
des	un		
nouvelles	nouvelle		
capables	capable		
de	de		
nourrir	nourrir		
la	le		
curiosité	curiosité		
des	de_le		
plus	plus		
illustres	illustre		
de	de		
la	le		
Province	Province		
qui	qui		
doit	devoir		
avoir	avoir		
le	le		
bonheur	bonheur		
de	de		
vous	vous		
posseder	posseder		
si	si		
long	long		
-	-		
temps	temps		
.	.		
Quand	quand		
on	on		
songe	songer		
souvent	souvent		
à	à		
une	un		
Personne	Personne		
,	,		
on	on		
n’oublie	naoublier		
pas	pas		
facilement	facilement		
ce	ce		
qu’on	queon		
luy	luy		
promet	promettre		
.	.		
Je	je		
croy	croy		
,	,		
Madame	madame		
,	,		
que	que		
vous	vous		
entendez	entendre		
bien	bien		
ce	ce		
que	que		
cela	cela		
veut	vouloir		
dire	dire		
,	,		
&	je		
qu’il	queil		
n’est	naître		
pas	pas		
necessaire	necessaire		
que	que		
je	je		
m’explique	mexpliquer		
davantage	davantage		
.	.		
Passons	passer		
donc	donc		
aux	à_le		
nouvelles	nouvelle		
,	,		
ou	ou		
plutost	plutost		
à	à		
l’ordre	licrdre		
que	que		
j’ay	jaire		
résolu	résoudre		
de	de		
tenir	tenir		
pour	pour		
vous	vous		
en	en		
apprendre	apprendre		
.	.		
Je	je		
vous	vous		
écriray	écrire		
tous	tout		
les	le		
huit	huit		
jours	jour		
une	un		
fois	fois		
,	,		
&	être		
vous	vous		
feray	feraire		
un	un		
long	long		
et	et		
curieux	curieux		
détail	détail		
de	de		
tout	tout		
ce	ce		
que	que		
j’auray	jaauray		
appris	apprendre		
pendant	pendant		
la	le		
Semaine	Semaine		
.	.		
Je	je		
vous	vous		
manderay	mander		
des	un		
choses	chose		
que	que		
les	le		
Gazettes	Gazettes		
ne	ne		
vous	vous		
apprendront	apprendre		
point	point		
,	,		
ou	ou		
du	de_le		
moins	moins		
qu’elles	quelles		
ne	ne		
vous	vous		
feront	faire		
pas	pas		
sçavoir	sçavoir		
avec	avec		
tant	tant		
de	de		
particularitez	particulariter		
.	.		
Les	le		
moindres	moindre		
choses	chose		
qui	qui		
se	se		
passeront	passer		
icy	icy		
,	,		
n’échaperont	naéchaper		
pas	pas		
à	à		
ma	mon		
plume	plume		
;	;		
Vous	vous		
sçaurez	sçaurer		
les	le		
Morts	Morts		
&	_		
les	le		
Mariages	Mariages		
de	de		
conséquence	conséquence		
,	,		
avec	avec		
des	un		
circonstances	circonstance		
qui	qui		
pouront	pouront		
quelque	quelque		
fois	fois		
vous	vous		
donner	donner		
des	un		
plaisirs	plaisir		
que	que		
ces	ce		
sortes	sorte		
de	de		
nouvelles	nouveau		
n’ont	nnont		
pas	pas		
d’elles	dîelle		
-	-		
mesmes	mesmettre		
.	.		
Je	je		
tâcheray	tâcheray		
de	de		
déveloper	déveloper		
la	le		
verité	verité		
de	de		
belles	beau		
actions	action		
de	de		
ceux	celui		
dont	dont		
la	le		
valeur	valeur		
se	se		
fera	faire		
remarquer	remarquer		
dans	dans		
les	le		
Armées	Armées		
,	,		
&	ê		
vous	vous		
éclairciray	éclaircir		
souvent	souvent		
des	de_le		
choses	chose		
dont	dont		
la	le		
Renommée	Renommée		
est	être		
toûjours	toûjour		
mal	mal		
instruite	instruire		
,	,		
parce	parce		
qu’elle	quelle		
n’attend	naître		
jamais	jamais		
pour	pour		
partir	partir		
qu’elle	quelle		
soit	être		
bien	bien		
éclaircie	éclaircir		
,	,		
&	je		
que	que		
les	le		
premiers	premier		
bruits	bruit		
qu’elle	quelle		
seme	semer		
ne	ne		
se	se		
trouvent	trouver		
que	que		
rarement	rarement		
véritables	véritable		
.	.		
Je	je		
n’oubliray	nloublir		
pas	pas		
à	à		
vous	vous		
parler	parler		
de	de		
tous	tout		
ceux	celui		
qui	qui		
recevront	recevoir		
quelques	quelque		
bienfaits	bienfait		
de	de		
notre	notre		
Grand	Grand		
Monarque	Monarque		
:	:		
Il	il		
donne	donner		
de	de		
si	si		
bonne	bon		
grace	grâce		
,	,		
que	que		
bien	bien		
que	que		
ses	son		
présens	présent		
soient	être		
considerables	considerable		
,	,		
on	on		
est	être		
plus	plus		
charmé	charmer		
d’entendre	déentendre		
le	le		
recit	recit		
de	de		
la	le		
maniere	manière		
dont	dont		
il	il		
les	il		
fait	faire		
,	,		
que	que		
ceux	celui		
qui	qui		
les	il		
reçoivent	recevoir		
ne	ne		
sont	être		
ravis	ravir		
de	de		
la	le		
magnificence	magnificence		
de	de		
ses	son		
dons	don		
.	.		
Comme	comme		
on	on		
entend	entendre		
de	de		
temps	temps		
en	en		
temps	temps		
parler	parler		
de	de		
Procés	Procés		
si	si		
extraordinaire	extraordinaire		
,	,		
&	je		
si	si		
remplis	remplir		
d’avantures	deavanture		
,	,		
que	que		
les	le		
romans	roman		
les	le		
plus	plus		
surprenans	surprenant		
n’ont	navrer		
rien	rien		
qui	qui		
en	en		
approche	approcher		
,	,		
je	je		
ne	ne		
manqueray	manquer		
pas	pas		
de	de		
vous	vous		
en	en		
divertir	divertir		
,	,		
&	avoir		
de	de		
vous	vous		
en	en		
mander	mander		
les	le		
veritables	veritable		
circonstances	circonstance		
,	,		
qui	qui		
ne	ne		
sont	être		
jamais	jamais		
bien	bien		
sçeuës	sçeu		
que	que		
de	de		
ceux	celui		
qui	qui		
se	se		
donnent	donner		
la	le		
peine	peine		
de	de		
les	il		
rechercher	rechercher		
avec	avec		
soin	soin		
.	.		
La	le		
curiosité	curiosité		
attirant	attirer		
à	à		
Paris	Paris		
non	non		
seulement	seulement		
quantité	quantité		
des	de_le		
plus	plus		
Illustres	Illustres		
de	de		
toutes	tout		
les	le		
Provinces	Provinces		
de	de		
France	France		
,	,		
mais	mais		
encor	encore		
de	de		
plusieurs	plusieurs		
Estrangers	Estrangers		
,	,		
je	je		
vous	vous		
instruiray	instruire		
du	de_le		
mérite	mérite		
extraordinaire	extraordinaire		
de	de		
ceux	celui		
qui	qui		
se	se		
feront	faire		
admirer	admirer		
.	.		
Je	je		
vous	vous		
envoyeray	envoyer		
toutes	tout		
les	le		
Pieces	Pieces		
galantes	galant		
qui	qui		
auront	avoir		
de	de		
la	le		
reputation	reputation		
,	,		
comme	comme		
Sonnets	Sonnets		
,	,		
Madrigaux	Madrigal		
,	,		
&	ître		
autres	autre		
Ouvrages	ouvrages		
semblables	semblable		
.	.		
Je	je		
vous	vous		
manderay	mander		
le	le		
jugement	jugement		
qu’on	queon		
fera	faire		
de	de		
toutes	tout		
les	le		
Comedies	comedie		
nouvelles	nouveau		
&	_		
de	de		
tous	tout		
les	le		
livres	livre		
de	de		
galanterie	galanterie		
qui	qui		
s’imprimeront	seimprimer		
;	;		
je	je		
dis	dire		
galanterie	galanterie		
,	,		
parce	parce		
que	que		
je	je		
ne	ne		
prétens	prétent		
point	point		
parler	parler		
de	de		
ceux	celui		
qui	qui		
regardent	regarder		
les	le		
Arts	Art		
&	joir		
Sciences	Sciences		
,	,		
à	à		
cause	cause		
que	que		
je	je		
ne	ne		
m’en	moen		
pourois	pourois		
si	si		
dignement	dignement		
acquiter	acquiter		
que	que		
ceux	celui		
qui	qui		
prennent	prendre		
le	le		
soin	soin		
d’en	dHen		
donner	donner		
tous	tout		
les	le		
quinze	quinze		
jours	jour		
des	de_le		
Memoires	Memoires		
.	.		
Je	je		
feray	ferai		
pourtant	pourtant		
plus	plus		
que	que		
je	je		
ne	ne		
vous	vous		
ay	ay		
promis	promettre		
,	,		
&	je		
j’espere	jrespere		
vous	vous		
écrire	écrire		
souvent	souvent		
quelques	quelque		
Avantures	Avantures		
nouvelles	nouveau		
en	en		
forme	forme		
d’Histoires	dehistoires		
.	.		
Paris	Paris		
est	être		
assez	assez		
grand	grand		
pour	pour		
m’en	maître		
fournir	fournir		
;	;		
il	il		
y	y		
arrive	arriver		
chaque	chaque		
jour	jour		
des	de_le		
choses	chose		
assez	assez		
considérables	considérable		
;	;		
&	je		
ceux	celui		
qui	qui		
voyent	voir		
un	un		
peu	peu		
le	le		
Monde	Monde		
,	,		
apprenent	apprenent		
souvent	souvent		
des	un		
avantures	avanture		
extraordinaires	extraordinaire		
,	,		
&	je		
en	en		
sont	être		
de	de		
mesme	mesme		
quelquefois	quelquefois		
les	le		
témoins	témoin		
;	;		
&	jaire		
je	je		
ne	ne		
doute	douter		
point	point		
que	que		
je	je		
ne	ne		
puisse	pouvoir		
vous	vous		
faire	faire		
part	part		
presque	presque		
chaque	chaque		
Semaine	Semaine		
d’une	déune		
Histoire	Histoire		
nouvelle	nouveau		
.	.		
Quand	quand		
Paris	Paris		
n’en	nien		
fourniroit	fournir		
pas	pas		
toûjours	toûjours		
la	le		
matiere	matière		
,	,		
je	je		
ne	ne		
puis	pouvoir		
manquer	manquer		
d’en	deen		
apprendre	apprendre		
du	de_le		
grand	grand		
nombre	nombre		
d’Etrangers	ders		
qui	qui		
sont	être		
dans	dans		
cette	ce		
grande	grand		
Ville	Ville		
.	.		
J’adjoûteray	juadjoûteray		
à	à		
toutes	tout		
ces	ce		
choses	chose		
toutes	tout		
les	le		
nouvelles	nouvelle		
des	de_le		
Ruelles	Ruelles		
les	le		
plus	plus		
galantes	galant		
,	,		
&	je		
vous	vous		
manderay	mander		
jusques	jusque		
aux	à_le		
Modes	Modes		
nouvelles	nouveau		
:	:		
On	on		
est	être		
ravy	ravy		
en	en		
Province	Province		
de	de		
les	il		
apprendre	apprendre		
;	;		
&	être		
de	de		
tout	tout		
ce	ce		
que	que		
l’on	lnon		
peut	pouvoir		
mander	mander		
,	,		
rien	rien		
n’est	naître		
souhaité	souhaiter		
avec	avec		
plus	plus		
de	de		
passion	passion		
.	.		
Vous	vous		
croyez	croire		
bien	bien		
que	que		
les	le		
Coquettes	Coquettes		
de	de		
Paris	Paris		
me	je		
fourniront	fournir		
assez	assez		
dequoy	dequoy		
vous	vous		
écrire	écrire		
sur	sur		
ce	ce		
sujet	sujet		
,	,		
&	je		
que	que		
toutes	tout		
les	le		
choses	chose		
que	que		
je	je		
vous	vous		
viens	venir		
de	de		
promettre	promettre		
me	je		
fourniront	fournir		
separément	separément		
dequoy	dequoy		
vous	vous		
entretenir	entretenir		
d’un	déun		
nombre	nombre		
infiny	infiny		
de	de		
nouvelles	nouvelle		
.	.		
Je	je		
ne	ne		
vous	vous		
en	en		
manderay	mander		
pas	pas		
beaucoup	beaucoup		
d’étrangeres	dlangeres		
,	,		
ny	ny		
d’Etat	detat		
;	;		
&	être		
je	je		
vous	vous		
parleray	parler		
seulement	seulement		
de	de		
ces	ce		
grandes	grand		
nouvelles	nouveau		
publiques	public		
dont	dont		
s’entretiennent	sentretienner		
ceux	celui		
-	-		
mesmes	mesme		
qui	qui		
ne	ne		
font	faire		
point	point		
profession	profession		
d’en	deen		
sçavoir	sçavoir		
.	.		
Comme	comme		
il	il		
n’y	n		
a	avoir		
point	point		
de	un		
nouvelle	nouveau		
si	si		
publique	public		
qui	qui		
n’ait	naître		
quelque	quelque		
chose	chose		
de	de		
particulier	particulier		
,	,		
&	je		
qui	qui		
n’est	naître		
pas	pas		
sçeu	sçeu		
de	de		
tout	tout		
le	le		
monde	monde		
,	,		
je	je		
vous	vous		
informeray	informer		
de	de		
ce	ce		
qu’en	queen		
croiront	croire		
ceux	celui		
qui	qui		
devront	devoir		
les	le		
mieux	mieux		
sçavoir	sçavoir		
que	que		
les	le		
autres	autre		
.	.		
Si	si		
je	je		
puis	pouvoir		
venir	venir		
à	à		
bout	bout		
de	de		
mon	mon		
dessein	dessein		
,	,		
&	ê		
que	que		
vous	vous		
conserviez	conserver		
mes	mon		
Lettres	Lettres		
,	,		
elles	il		
pouront	pouront		
dans	dans		
l’avenir	liavenir		
servir	servir		
de	de		
Memoires	Memoires		
aux	à_le		
Curieux	Curieux		
,	,		
&	ê		
l’on	lnon		
y	y		
trouvera	trouver		
beaucoup	beaucoup		
de	de		
choses	chose		
qui	qui		
ne	ne		
pourront	pouvoir		
se	se		
rencontrer	rencontrer		
ailleurs	ailleurs		
,	,		
à	à		
cause	cause		
de	de		
la	le		
diversité	diversité		
des	de_le		
matieres	matieres		
dont	dont		
elles	il		
seront	être		
remplies	remplir		
;	;		
mais	mais		
il	il		
m’importe	meimporter		
peu	peu		
qu’elles	quelles		
soient	être		
utiles	utile		
à	à		
d’autres	dîcre		
,	,		
pourveu	pourveu		
qu’elles	quelles		
vous	vous		
divertissent	divertir		
:	:		
c’est	cêest		
mon	mon		
unique	unique		
but	but		
,	,		
&	ê		
c’est	cêest		
pourquoi	pourquoi		
je	je		
commence	commencer		
par	par		
une	un		
Histoire	Histoire		
avant	avant		
que	que		
d’entrer	dîtrer		
dans	dans		
le	le		
détail	détail		
des	de_le		
nouvelles	nouvelle		
de	de		
la	le		
Semaine	Semaine		
.	.		
_____	______		
L’Histoire	LXHistoire		
du	de_le		
Collier	Collier		
de	de		
Perles	Perles		
c’est	ceest		
pourquoy	pourquoy		
je	je		
commence	commencer		
par	par		
une	un		
Histoire	Histoire		
,	,		
avant	avant		
que	que		
d’entrer	dlentrer		
dans	dans		
le	le		
détail	détail		
des	de_le		
nouvelles	nouvelle		
de	de		
cette	ce		
Semaine	Semaine		
.	.		
Un	un		
jeune	jeune		
Homme	homme		
estant	estant		
ces	ce		
jours	jour		
passez	passer		
chez	chez		
une	un		
belle	beau		
Personne	Personne		
dont	dont		
il	il		
n’estoit	naître		
amoureux	amoureux		
que	que		
par	par		
galanterie	galanterie		
,	,		
ou	ou		
plutost	plutost		
pour	pour		
entretenir	entretenir		
la	le		
conversation	conversation		
,	,		
(	(		
c’est	cêest		
une	un		
chose	chose		
assez	assez		
ordinaire	ordinaire		
,	,		
&	ê		
si	si		
la	le		
pluspart	pluspart		
de	de		
nos	notre		
jeunes	jeune		
Gens	gens		
ne	ne		
parloient	parler		
d’amour	déamour		
aux	à_le		
Dames	Dames		
&	U		
ne	ne		
loüoient	loüoient		
leurs	leur		
beautez	beauter		
,	,		
ils	il		
n’auroient	naîroyer		
souvent	souvent		
rien	rien		
à	à		
dire	dire		
.	.		
)	)		
Celuy	Celuy		
dont	dont		
je	je		
vous	vous		
vais	aller		
conter	conter		
l’avanture	liavanture		
,	,		
ayant	avoir		
loüé	loüer		
en	en		
gros	gros		
&	ître		
en	en		
détail	détail		
tous	tout		
les	le		
charmes	charme		
de	de		
la	le		
jeune	jeune		
Beauté	Beauté		
qu’il	queil		
estoit	estoirer		
venu	venir		
voir	voir		
,	,		
&	ê		
ne	ne		
sçachant	sçacher		
plus	plus		
de	de		
quoy	quoy		
l’entretenir	lneretenir		
,	,		
cette	ce		
charmante	charmant		
Personne	Personne		
ennuyée	ennuyer		
d’entendre	déentendre		
toûjours	toûjours		
la	le		
mesme	même		
chose	chose		
,	,		
s’assoupit	sassoupir		
un	un		
peu	peu		
,	,		
&	ê		
s’endormit	saendormir		
enfin	enfin		
tout	tout		
-	-		
à	à		
-	-		
fait	faire		
,	,		
quoy	quoy		
qu’elle	quelle		
n’en	n		
eut	avoir		
pas	pas		
dessein	dessein		
:	:		
mais	mais		
comme	comme		
elle	il		
avoit	avoir		
couru	courir		
le	le		
Bal	Bal		
la	le		
nuit	nuit		
precedente	précedent		
,	,		
&	ê		
qu’elle	quelle		
estoit	estoit		
beaucoup	beaucoup		
fatiguée	fatiguer		
,	,		
&	ê		
que	que		
d’ailleurs	déailleur		
elle	il		
estoit	estoit		
mal	mal		
divertie	divertir		
par	par		
celuy	celuy		
qui	qui		
l’entretenoit	lire		
,	,		
elle	il		
ne	ne		
pût	pouvoir		
resister	résister		
aux	à_le		
charmes	charme		
du	de_le		
Sommeil	Sommeil		
.	.		
Le	le		
Galant	Galant		
n’en	naître		
fit	faire		
pas	pas		
de	de		
mesme	même		
;	;		
la	le		
beauté	beauté		
de	de		
cette	ce		
Belle	belle		
endormie	endormir		
,	,		
&	ê		
le	le		
mouvement	mouvement		
de	de		
son	son		
sein	sein		
soûpirant	soûpir		
,	,		
réveillerent	réveiller		
ses	son		
sens	sens		
;	;		
il	il		
la	il		
regarda	regarder		
avec	avec		
des	un		
yeux	œil		
passionnez	passionner		
,	,		
&	je		
son	son		
cœur	cour		
luy	luïr		
dit	dire		
plusieurs	plusieurs		
fois	fois		
qu’il	queil		
devoit	devoir		
profiter	profiter		
de	de		
l’occasion	lnoccasion		
.	.		
Il	il		
ne	ne		
sçavoit	scavoir		
à	à		
quoy	quoy		
se	se		
resoudre	resoudre		
,	,		
lorsqu’il	lorsqueil		
jetta	jetta		
les	le		
yeux	œil		
sur	sur		
un	un		
Collier	Collier		
de	de		
vingt	vingt		
mille	mille		
livres	livre		
qu’elle	quelle		
avoit	avoir		
à	à		
son	son		
col	col		
,	,		
&	ê		
dont	dont		
le	le		
ruban	ruban		
qui	qui		
le	il		
lioit	lire		
se	se		
trouva	trouver		
dénoüé	dénoüer		
.	.		
Cet	ce		
Amant	amant		
dont	dont		
je	je		
cacheray	cacherai		
le	le		
nom	nom		
sous	sous		
celuy	celuy		
de	de		
Cleonte	Cleonte		
,	,		
sentit	sentir		
tout	tout		
-	-		
à	à		
-	-		
coup	coup		
des	un		
mouvemens	mouvement		
bien	bien		
contraires	contraire		
à	à		
ceux	celui		
qu’il	queil		
avoit	avoir		
eus	avoir		
un	un		
moment	moment		
auparavant	auparavant		
.	.		
Il	il		
n’y	n		
avoit	avoir		
pas	pas		
deux	deux		
jours	jour		
qu’il	queil		
avoit	avoir		
perdu	perdre		
son	son		
argent	argent		
au	à_le		
jeu	jeu		
;	;		
il	il		
aimoit	aimer		
la	le		
dépense	dépense		
;	;		
il	il		
ne	ne		
trouvoit	trouver		
plus	plus		
de	de		
crédit	crédit		
,	,		
parce	parce		
qu’il	queil		
devoit	devoir		
beaucoup	beaucoup		
;	;		
&	al		
de	de		
plus	plus		
,	,		
il	il		
estoit	estoit		
jeune	jeune		
&	avoir		
un	un		
peu	peu		
fripon	fripon		
de	de		
son	son		
naturel	naturel		
.	.		
Toutes	tout		
ces	ce		
choses	chose		
jointes	joindre		
à	à		
une	un		
occasion	occasion		
si	si		
favorable	favorable		
,	,		
le	il		
firent	faire		
entrer	entrer		
dans	dans		
une	un		
tentation	tentation		
bien	bien		
contraire	contraire		
à	à		
la	le		
premiere	premiere		
,	,		
&	avoir		
ses	son		
regards	regard		
ne	ne		
s’attacherent	seacherent		
plus	plus		
qu’au	queau		
Collier	Collier		
.	.		
Apres	apre		
l’avoir	llavoir		
bien	bien		
regardé	regarder		
,	,		
il	il		
tourna	tourner		
sa	son		
veuë	veu		
du	de_le		
costé	costé		
de	de		
la	le		
porte	porte		
.	.		
Il	il		
fit	faire		
plus	plus		
,	,		
il	il		
se	se		
leva	lever		
,	,		
fit	faire		
quelques	quelque		
tours	tour		
dans	dans		
la	le		
Chambre	Chambre		
,	,		
&	ê		
fut	être		
mesmes	mesmettre		
jusques	jusque		
sur	sur		
le	le		
degré	degré		
pour	pour		
voir	voir		
si	si		
personne	personne		
ne	ne		
venoit	venir		
.	.		
Il	il		
trouva	trouver		
toutes	tout		
choses	chose		
favorables	favorable		
à	à		
son	son		
dessein	dessein		
,	,		
&	avoir		
revint	revenir		
auprès	auprès		
de	de		
Belise	Belise		
,	,		
(	(		
c’est	cest		
ainsi	ainsi		
que	que		
je	je		
nommeray	nommer		
cette	ce		
Belle	Belle		
dans	dans		
le	le		
reste	reste		
de	de		
cette	ce		
Histoire	Histoire		
.	.		
)	)		
Il	il		
ne	ne		
fut	être		
pas	pas		
plutost	plutost		
aupres	aupres		
d’elle	dêelle		
,	,		
qu’il	queil		
demeura	demeurer		
immobile	immobile		
,	,		
&	ê		
qu’il	queil		
se	se		
mit	mettre		
à	à		
faire	faire		
des	un		
reflexions	reflexion		
.	.		
Je	je		
suis	être		
seul	seul		
icy	icy		
,	,		
dit	dire		
il	il		
en	en		
luy	luir		
-	-		
mesme	mesme		
,	,		
&	je		
l’on	leon		
ne	ne		
pourra	pouvoir		
accuser	accuser		
que	que		
moy	moy		
d’avoir	dlavoir		
pris	prendre		
ce	ce		
Collier	Collier		
.	.		
Si	si		
je	je		
sors	sortir		
sans	sans		
rien	rien		
dire	dire		
,	,		
je	je		
me	je		
rendray	rendray		
criminel	criminel		
;	;		
&	être		
si	si		
je	je		
demeure	demeurer		
après	après		
l’avoir	laavoir		
pris	prendre		
,	,		
on	on		
le	il		
cherchera	chercher		
par	par		
tout	tout		
,	,		
&	ê		
l’on	lnon		
ne	ne		
manquera	manquer		
pas	pas		
de	de		
le	il		
trouver	trouver		
sur	sur		
moy	moy		
quelque	quelque		
chose	chose		
que	que		
je	je		
fasse	faire		
pour	pour		
le	il		
bien	bien		
cacher	cacher		
.	.		
Il	il		
vaut	valoir		
mieux	mieux		
que	que		
j’abandonne	jaire		
ce	ce		
dessein	dessein		
.	.		
Si	si		
je	je		
l’abandonne	lire		
,	,		
