form	lemma	morph	POS
non	nom	NOMB.=s|GENRE=m|CAS=r	NOMcom
Erchenoalx	erchenal	NOMB.=s|GENRE=m|CAS=n	ADJqua
et	et	MORPH=empty	CONcoo
estoit	estre1	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s	VERcjg
a	a3	MORPH=empty	PRE
chest	cestre	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s	VERppe
tans	tant	NOMB.=p|GENRE=m|CAS=r	ADJind
mareschaus	marreschal	NOMB.=s|GENRE=m|CAS=n	ADJqua
de	de	MORPH=empty	PRE
Franche	franche	NOMB.=s|GENRE=f|CAS=r	NOMpro
.	.	_	PONfrt
Ele	il	PERS.=3|NOMB.=s|GENRE=f|CAS=n	PROper
le	il	PERS.=3|NOMB.=s|GENRE=m|CAS=r	PROper
servi	servir	NOMB.=s|GENRE=m|CAS=n	VERppe
si	si	DEGRE=-	ADVgen
bien	bien1	DEGRE=p	ADVgen
et	et	MORPH=empty	CONcoo
si	si	DEGRE=-	ADVgen
honnestement	honestement	DEGRE=-	ADVgen
et	et	MORPH=empty	CONcoo
estoit	estre1	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s	VERcjg
de	de	MORPH=empty	PRE
si	si	DEGRE=-	ADVgen
tres	très	DEGRE=-	ADVgen
honeste	oneste	NOMB.=s|GENRE=m|CAS=r|DEGRE=p	ADJqua
conver	cover	MORPH=empty	VERinf
sation	satinon	NOMB.=s|GENRE=m|CAS=r	NOMpro
et	et	MORPH=empty	CONcoo
en	en2	MORPH=empty	PRE
fait	faire	NOMB.=s|GENRE=m|CAS=r	NOMcom
et	et	MORPH=empty	CONcoo
en	en1	MORPH=empty	PRE
contenanche	contenance	NOMB.=s|GENRE=m|CAS=r	NOMcom
que	que2	MORPH=empty	CONsub
nus	nul	NOMB.=s|GENRE=m|CAS=n	PROind
ne	ne1	MORPH=empty	ADVneg
le	il	PERS.=3|NOMB.=s|GENRE=m|CAS=r	PROper
veoit	vëoir	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s	VERcjg
qui	qui	NOMB.=s|GENRE=m|CAS=n	PROrel
ne	ne1	MORPH=empty	CONcoo
l’amast	lalemer	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	VERcjg
,	,	_	PONfbl
car	car	MORPH=empty	CONcoo
ele	il	PERS.=3|NOMB.=s|GENRE=f|CAS=n	PROper
estoit	estre1	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s	VERcjg
debonaire	debonaire	NOMB.=s|GENRE=f|CAS=n	ADJqua
de	de	MORPH=empty	PRE
coraige	corage	NOMB.=s|GENRE=m|CAS=r	NOMcom
et	et	MORPH=empty	CONcoo
humle	ome	NOMB.=s|GENRE=f|CAS=r	NOMcom
et	et	MORPH=empty	CONcoo
simple	semple	NOMB.=s|GENRE=f|CAS=r	NOMcom
et	et	MORPH=empty	CONcoo
saige	sage	NOMB.=s|GENRE=m|CAS=n|DEGRE=p	ADJqua
et	et	MORPH=empty	CONcoo
sobre	sobre	NOMB.=x|GENRE=x|CAS=x	VERinf
et	et	MORPH=empty	CONcoo
a	a3	MORPH=empty	PRE
nului	nul	NOMB.=s|GENRE=m|CAS=r	NOMcom
ne	ne1	MORPH=empty	ADVneg
voloit	voloir	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s	VERcjg
mal	mal1	DEGRE=-	ADVgen
.	.	_	PONfrt
Ele	il	PERS.=3|NOMB.=s|GENRE=f|CAS=n	PROper
n’estoit	nevestir	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s	VERcjg
mie	mie1	MORPH=empty	ADVneg
legiere	legier2	NOMB.=s|GENRE=f|CAS=r	ADJqua
en	en2	MORPH=empty	PRE
parole	parole	NOMB.=s|GENRE=f|CAS=r	NOMcom
ne	ne2	MORPH=empty	CONcoo
presumptueuse	presumpoté	NOMB.=s|GENRE=f|CAS=r	NOMcom
,	,	_	PONfbl
ains	ainz	DEGRE=-	ADVgen
atemproit	atempre	MODE=con|PERS.=3|NOMB.=s	VERcjg
toutes	tot	NOMB.=p|GENRE=f|CAS=r	DETind
ses	suen	PERS.=3|NOMB.=p|GENRE=f|CAS=r	DETpos
oevres	uevre	NOMB.=p|GENRE=f|CAS=r	NOMcom
par	par	MORPH=empty	PRE
tres	très	DEGRE=-	ADVgen
honeste	onestie	NOMB.=s|GENRE=f|CAS=r	ADJqua
engien	engien	NOMB.=s|GENRE=f|CAS=r	NOMcom
.	.	_	PONfrt
Ele	il	PERS.=3|NOMB.=s|GENRE=f|CAS=n	PROper
estoit	estre1	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s	VERcjg
mout	mout	DEGRE=-	ADVgen
bien	bien1	DEGRE=p	ADVgen
faite	faire	NOMB.=s|GENRE=f|CAS=r	VERppe
de	de	MORPH=empty	PRE
cors	cors1	NOMB.=s|GENRE=m|CAS=r	NOMcom
et	et	MORPH=empty	CONcoo
mout	mout	DEGRE=p	ADVgen
bele	bel1	NOMB.=s|GENRE=f|CAS=n	ADJqua
de	de	MORPH=empty	PRE
visaige	visage	NOMB.=s|GENRE=f|CAS=r	NOMcom
et	et	MORPH=empty	CONcoo
de	de	MORPH=empty	PRE
mout	mout	DEGRE=-	ADVgen
lie	le	NOMB.=s|GENRE=f|CAS=r	ADJqua
chere	chere	NOMB.=s|GENRE=f|CAS=r	NOMcom
et	et	MORPH=empty	CONcoo
atempree	atempree	NOMB.=s|GENRE=f|CAS=r	VERppe
en	en1	MORPH=empty	PRE
aleure	alure	NOMB.=s|GENRE=f|CAS=r	NOMcom
.	.	_	PONfrt
Ele	il	PERS.=3|NOMB.=s|GENRE=f|CAS=n	PROper
trova	trover	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	VERcjg
si	si	DEGRE=-	ADVgen
grant	grant	NOMB.=s|GENRE=f|CAS=r	ADJqua
grace	grace	NOMB.=s|GENRE=f|CAS=r	NOMcom
en	en2	MORPH=empty	PRE
Erchenoalt	erchenaux	NOMB.=s|GENRE=m|CAS=r	VERcjg
par	par	MORPH=empty	PRE
ses	suen	PERS.=3|NOMB.=p|GENRE=m|CAS=r	DETpos
bones	bon	NOMB.=p|GENRE=f|CAS=r	ADJqua
meurs	mersu	NOMB.=p|GENRE=m|CAS=r	NOMcom
qu’il	quel1	NOMB.=p|GENRE=m|CAS=r	PROrel
l’ama	lancer	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	VERcjg
plus	plus	DEGRE=-	ADVgen
et	et	MORPH=empty	CONcoo
prisa	prisier	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	VERcjg
que	que1	MORPH=empty	CONsub
toutes	tot	NOMB.=p|GENRE=f|CAS=r	DETind
autres	autre	NOMB.=p|GENRE=f|CAS=r	ADJind
gentilx	gentil	NOMB.=p|GENRE=f|CAS=r	ADJqua
femes	feme	NOMB.=p|GENRE=f|CAS=r	NOMcom
del	de+le	NOMB.=s|GENRE=m|CAS=r	PRE.DETdef
païs	päis	NOMB.=s|GENRE=m|CAS=r	NOMcom
qui	qui	NOMB.=s|GENRE=m|CAS=n	PROrel
entor	entor	MORPH=empty	PRE
li	il	PERS.=3|NOMB.=s|GENRE=m|CAS=i	PROper
estoient	estre1	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=p	VERcjg
,	,	_	PONfbl
si	si	DEGRE=-	ADVgen
qu’il	quel1	NOMB.=s|GENRE=m|CAS=n	DETint
li	le	PERS.=3|NOMB.=s|GENRE=m|CAS=i	PROper
establi	establir	NOMB.=s|GENRE=m|CAS=n	VERppe
un	un	NOMB.=s|GENRE=m|CAS=r	DETndf
mestier	mestier	NOMB.=s|GENRE=m|CAS=r	NOMcom
que	que4	MORPH=empty	CONsub
cascune	chascun	NOMB.=s|GENRE=f|CAS=r	DETind
nuit	nuit	NOMB.=s|GENRE=f|CAS=r	NOMcom
,	,	_	PONfbl
quant	cant1	MORPH=empty	CONsub
il	il	PERS.=3|NOMB.=s|GENRE=m|CAS=n	PROper
se	soi1	PERS.=3|NOMB.=s|GENRE=m|CAS=r	PROper
coucheroit	couchier	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s	VERcjg
,	,	_	PONfbl
qu’ele	que2	NOMB.=s|GENRE=f|CAS=n	DETrel
le	il	PERS.=3|NOMB.=s|GENRE=m|CAS=r	PROper
servist	servir	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s	VERcjg
du	de+le	NOMB.=s|GENRE=m|CAS=r	PRE.DETdef
vin	vin	NOMB.=s|GENRE=m|CAS=r	NOMcom
et	et	MORPH=empty	CONcoo
ele	il	PERS.=3|NOMB.=s|GENRE=f|CAS=n	PROper
si	si	DEGRE=-	ADVgen
fist	faire	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	VERcjg
mout	mout	DEGRE=p	ADVgen
bel	bel1	DEGRE=p	ADJqua
et	et	MORPH=empty	CONcoo
mout	mout	DEGRE=-	ADVgen
avenanment	avenir	DEGRE=-	ADVgen
comme	come1	MORPH=empty	CONsub
tres	très	DEGRE=-	ADVgen
honeste	oneste	NOMB.=s|GENRE=f|CAS=r	ADJqua
bouteilliere	boteille	NOMB.=s|GENRE=f|CAS=r	NOMcom
,	,	_	PONfbl
mais	mais1	DEGRE=-	CONcoo
onques	onque	DEGRE=-	ADVgen
por	por2	MORPH=empty	PRE
che	che	MORPH=empty	DETdem
s’ele	sëule2	NOMB.=s|GENRE=f|CAS=n	NOMcom
fu	estre1	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	VERcjg
mieus	metre2	DEGRE=c	VERppe
de	de	MORPH=empty	PRE
son	suen	PERS.=3|NOMB.=s|GENRE=m|CAS=r	DETpos
seignor	seignor	NOMB.=s|GENRE=m|CAS=r	NOMcom
que	que4	MORPH=empty	CONsub
les	le	NOMB.=p|GENRE=f|CAS=r	DETdef
aultres	aluer	NOMB.=p|GENRE=f|CAS=r	NOMcom
ne	ne2	MORPH=empty	CONcoo
s’en	sëuen	PERS.=3|NOMB.=s|GENRE=m|CAS=r	NOMcom
glorefia	gloref	NOMB.=x|GENRE=x|CAS=x	VERppa
ne	ne2	MORPH=empty	CONcoo
mains	main2	NOMB.=p|GENRE=f|CAS=r	NOMcom
n’en	ne1	NOMB.=s|GENRE=f|CAS=r	ADVneg
fu	estre1	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	VERcjg
humle	ome	NOMB.=s|GENRE=f|CAS=n	VERppe
ne	ne2	MORPH=empty	CONcoo
obeissans	obeissan	NOMB.=s|GENRE=m|CAS=n	NOMcom
ne	ne2	MORPH=empty	CONcoo
amiable	ami	NOMB.=s|GENRE=f|CAS=r	NOMcom
a	a3	MORPH=empty	PRE
toutes	tot	NOMB.=p|GENRE=f|CAS=r	DETind
ses	suen	PERS.=3|NOMB.=p|GENRE=f|CAS=r	DETpos
compaignes	compagne	NOMB.=p|GENRE=f|CAS=r	NOMcom
.	.	_	PONfrt
Ele	il	PERS.=3|NOMB.=s|GENRE=f|CAS=n	PROper
par	par	MORPH=empty	PRE
portoit	porter	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s	VERcjg
si	si	DEGRE=-	ADVgen
grant	grant	NOMB.=s|GENRE=m|CAS=r|DEGRE=p	ADJqua
honnour	onor	NOMB.=s|GENRE=f|CAS=r	NOMcom
as	a3+le	NOMB.=p|GENRE=f|CAS=r	PRE.DETdef
ainsnees	ainente	NOMB.=p|GENRE=f|CAS=r	NOMcom
de	de	MORPH=empty	PRE
li	il	PERS.=3|NOMB.=s|GENRE=m|CAS=i	PROper
qu’ele	quel1	NOMB.=s|GENRE=f|CAS=r	PROrel
meismes	mëisme	NOMB.=s|GENRE=f|CAS=r	ADJind
les	il	PERS.=3|NOMB.=p|GENRE=m|CAS=r	PROper
descauchoit	descichier	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s	VERcjg
et	et	MORPH=empty	CONcoo
terdoit	terdoiier	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s	VERcjg
leurs	lors	PERS.=3|NOMB.=p|GENRE=m|CAS=r	DETpos
soulliers	solier2	NOMB.=p|GENRE=m|CAS=r	NOMcom
a	a3	MORPH=empty	PRE
ses	suen	PERS.=3|NOMB.=p|GENRE=f|CAS=r	DETpos
mains	main2	NOMB.=p|GENRE=f|CAS=r	NOMcom
et	et	MORPH=empty	CONcoo
leur	il	PERS.=3|NOMB.=p|GENRE=m|CAS=i	PROper
lavoit	laver	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s	VERcjg
leurs	lor2	PERS.=3|NOMB.=p|GENRE=f|CAS=r	DETpos
pies	pie	NOMB.=p|GENRE=f|CAS=r	NOMcom
et	et	MORPH=empty	CONcoo
leur	il	PERS.=3|NOMB.=p|GENRE=m|CAS=i	PROper
recousoit	recosir	MODE=con|PERS.=3|NOMB.=s	VERcjg
leurs	lors	PERS.=3|NOMB.=p|GENRE=f|CAS=r	ADJqua
reubes	robe	NOMB.=p|GENRE=f|CAS=r	NOMcom
et	et	MORPH=empty	CONcoo
tout	tot	NOMB.=s|GENRE=n|CAS=r	DETind
ce	ce1	NOMB.=s|GENRE=n|CAS=r	PROdem
faisoit	faire	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s	VERcjg
sans	sans	MORPH=empty	PRE
murmure	morarre	NOMB.=s|GENRE=m|CAS=r	NOMcom
et	et	MORPH=empty	CONcoo
par	par	MORPH=empty	PRE
bon	bon	NOMB.=s|GENRE=m|CAS=r	ADJqua
coraige	corage	NOMB.=s|GENRE=m|CAS=r	NOMcom
.	.	_	PONfrt
Ele	il	PERS.=3|NOMB.=s|GENRE=f|CAS=n	PROper
deservi	deservir	MODE=ind|TEMPS=psp|PERS.=1|NOMB.=s	VERcjg
tant	tant	DEGRE=-	ADVgen
que	que4	MORPH=empty	CONsub
cascune	chascun	NOMB.=s|GENRE=f|CAS=n	VERcjg
de	de	MORPH=empty	PRE
ses	suen	PERS.=3|NOMB.=s|GENRE=m|CAS=r	DETpos
compaingnes	compagne	NOMB.=p|GENRE=f|CAS=r	NOMcom
le	il	PERS.=3|NOMB.=s|GENRE=m|CAS=r	PROper
looit	loit	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s	VERcjg
et	et	MORPH=empty	CONcoo
amoit	ametre	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s	VERcjg
et	et	MORPH=empty	CONcoo
tant	tant	DEGRE=-	ADVgen
monteplia	montellier	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	VERcjg
de	de	MORPH=empty	PRE
jour	jor	NOMB.=s|GENRE=m|CAS=r	NOMcom
en	en1	MORPH=empty	PRE
jour	jor	NOMB.=s|GENRE=m|CAS=r	NOMcom
sa	suen	PERS.=3|NOMB.=s|GENRE=f|CAS=r	DETpos
bone	bon	NOMB.=s|GENRE=f|CAS=r	ADJqua
renommee	renome	NOMB.=s|GENRE=f|CAS=r	NOMcom
ke	que4	MORPH=empty	CONsub
,	,	_	PONfbl
quant	cant1	MORPH=empty	CONsub
le	le	NOMB.=s|GENRE=m|CAS=r	DETdef
feme	feme	NOMB.=s|GENRE=f|CAS=r	NOMcom
Archenoalt	archanaillier	NOMB.=s|GENRE=f|CAS=n	VERcjg
fu	estre1	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	VERcjg
trespassee	trespasser	NOMB.=s|GENRE=f|CAS=n	VERppe
de	de	MORPH=empty	PRE
cest	cest	NOMB.=s|GENRE=m|CAS=r	DETdem
siecle	siecle	NOMB.=s|GENRE=m|CAS=r	NOMcom
,	,	_	PONfbl
il	il	PERS.=3|NOMB.=s|GENRE=m|CAS=n	PROper
voult	voloir	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s	VERcjg
faire	faire	NOMB.=x|GENRE=x|CAS=x	VERinf
Batelt	batre	NOMB.=p|GENRE=f|CAS=r	DETind
compaingnes	compagne	NOMB.=p|GENRE=f|CAS=r	NOMcom
de	de	MORPH=empty	PRE
son	suen	PERS.=3|NOMB.=s|GENRE=m|CAS=r	DETpos
lit	lit1	NOMB.=s|GENRE=m|CAS=r	NOMcom
par	par	MORPH=empty	PRE
loial	lëal	NOMB.=s|GENRE=f|CAS=r	ADJqua
assamblee	assembler	NOMB.=s|GENRE=f|CAS=r	VERppe
de	de	MORPH=empty	PRE
mariaige	marïe2	NOMB.=s|GENRE=f|CAS=r	NOMcom
.	.	_	PONfrt
Mais	mais1	MORPH=empty	CONcoo
lués	löer1	MODE=imp|PERS.=2|NOMB.=p	VERcjg
que	que4	MORPH=empty	CONsub
la	le	NOMB.=s|GENRE=f|CAS=n	DETdef
beneoite	benëit	NOMB.=s|GENRE=f|CAS=n	VERcjg
virge	virge	NOMB.=s|GENRE=f|CAS=n	NOMcom
qui	qui	NOMB.=s|GENRE=f|CAS=n	PROrel
ja	ja	DEGRE=-	ADVgen
estoit	estre1	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s	VERcjg
environnee	environer	NOMB.=s|GENRE=f|CAS=n	VERppe
de	de	MORPH=empty	PRE
la	le	NOMB.=s|GENRE=f|CAS=r	DETdef
grace	grace	NOMB.=s|GENRE=f|CAS=r	NOMcom
del	de+le	NOMB.=s|GENRE=m|CAS=r	PRE.DETdef
saint	saint1	NOMB.=s|GENRE=m|CAS=r	ADJqua
esprit	esprendre	MODE=con|PERS.=3|NOMB.=s	VERcjg
s’en	sëent	PERS.=3|NOMB.=s|GENRE=m|CAS=r	NOMcom
fu	estre1	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	VERcjg
aperceue	aperce	NOMB.=s|GENRE=f|CAS=n	VERppe
,	,	_	PONfbl
si	si	DEGRE=-	ADVgen
se	soi1	PERS.=3|NOMB.=s|GENRE=m|CAS=r	PROper
retraist	retraire	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	VERcjg
mout	mout	DEGRE=p	ADVgen
saigement	saigient	NOMB.=x|GENRE=x|CAS=x	VERppa
de	de	MORPH=empty	PRE
ses	suen	PERS.=3|NOMB.=p|GENRE=m|CAS=r	DETpos
regarts	regart	NOMB.=p|GENRE=m|CAS=r	NOMcom
,	,	_	PONfbl
siques	sive1	MORPH=empty	PRE
une	un	NOMB.=s|GENRE=f|CAS=r	DETndf
nuit	nuit	NOMB.=s|GENRE=f|CAS=r	NOMcom
,	,	_	PONfbl
quant	cant1	MORPH=empty	CONsub
ele	il	PERS.=3|NOMB.=s|GENRE=f|CAS=n	PROper
fu	estre1	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	VERcjg
apelee	apelee	NOMB.=s|GENRE=f|CAS=n	VERppe
au	a3+le	NOMB.=s|GENRE=m|CAS=r	PRE.DETdef
lit	lit1	NOMB.=s|GENRE=m|CAS=r	NOMcom
del	de+le	NOMB.=s|GENRE=m|CAS=r	PRE.DETdef
prince	prince1	NOMB.=s|GENRE=m|CAS=r	NOMcom
,	,	_	PONfbl
ele	il	PERS.=3|NOMB.=s|GENRE=f|CAS=n	PROper
se	soi1	PERS.=3|NOMB.=s|GENRE=m|CAS=r	PROper
repust	repustir	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s	VERcjg
comme	come1	MORPH=empty	CONsub
saige	sage	NOMB.=s|GENRE=m|CAS=n	ADJqua
pucele	pucele	NOMB.=s|GENRE=f|CAS=n	NOMcom
en	en1	MORPH=empty	PRE
une	un	NOMB.=s|GENRE=f|CAS=r	DETndf
angle	angle	NOMB.=s|GENRE=f|CAS=r	NOMcom
de	de	MORPH=empty	PRE
le	le	NOMB.=s|GENRE=f|CAS=r	DETdef
maison	maison	NOMB.=s|GENRE=f|CAS=r	NOMcom
et	et	MORPH=empty	CONcoo
se	se	PERS.=3|NOMB.=s|GENRE=m|CAS=r	PROper
couvri	couvrir	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	VERcjg
de	de	MORPH=empty	PRE
malvais	mauvais	NOMB.=s|GENRE=m|CAS=r	ADJqua
